timestamp,active_power_kw,poa_w_m2,ghi_w_m2,wind_speed_m_s,wind_direction_deg.,amb_temp,mod_temp,humidity,is_real_measurement,hour,minute,day,month,weekday,power_lag_1,power_lag_2,rolling_mean_3,rolling_std_3,is_daylight,is_morning,is_afternoon
2026-07-06 06:00:00,39.79384615384616,13.332553846153845,14.589907692307692,0.0537692307692307,40.95338461538461,25.53076923076923,24.846153846153843,95.13076923076922,True,6,0,6,7,0,39.79384615384616,39.79384615384616,121.90550427350426,92.14374044594514,0,1,0
2026-07-06 06:15:00,104.36333333333336,28.82041333333333,31.41163333333333,0.1884466666666666,123.39546666666668,25.600000000000005,25.146666666666665,95.42000000000002,True,6,15,6,7,0,39.79384615384616,39.79384615384616,121.90550427350426,92.14374044594514,1,1,0
2026-07-06 06:30:00,221.55933333333329,54.82960666666666,59.57578666666667,0.1816866666666667,118.22542,25.760000000000005,25.62,95.39333333333336,True,6,30,6,7,0,104.36333333333336,39.79384615384616,121.90550427350426,92.14374044594514,1,1,0
2026-07-06 06:45:00,306.8926666666666,73.27666666666666,77.95526666666666,0.1116866666666666,142.30997999999997,25.93333333333333,26.28,95.16000000000004,True,6,45,6,7,0,221.55933333333329,104.36333333333336,210.9384444444444,101.6815380278234,1,1,0
2026-07-06 07:00:00,306.89000000000004,73.3755,76.80952666666667,0.21968,160.65699333333333,25.97333333333333,26.72666666666667,94.93333333333334,True,7,0,6,7,0,306.8926666666666,221.55933333333329,278.4473333333333,49.26645318853165,1,1,0
2026-07-06 07:15:00,281.11769230769227,67.36614615384616,68.65166153846154,0.604976923076923,145.32485384615387,25.97692307692308,26.62307692307692,94.8846153846154,True,7,15,6,7,0,306.89000000000004,306.8926666666666,298.3001196581196,14.880418643886165,1,1,0
2026-07-06 07:30:00,349.7186666666666,81.09570666666667,82.66669999999999,0.62972,160.59466,26.07333333333333,26.91333333333333,94.88666666666668,True,7,30,6,7,0,281.11769230769227,306.89000000000004,312.57545299145295,34.652080782237036,1,1,0
2026-07-06 07:45:00,441.994,102.54931333333332,102.52788666666667,0.6865133333333333,158.07677999999996,26.24,27.72,94.52,True,7,45,6,7,0,349.7186666666666,281.11769230769227,357.61011965811963,80.72795591933914,1,1,0
2026-07-06 08:00:00,315.85200000000003,74.2547,74.02662000000001,0.2745866666666667,167.81966000000003,26.386666666666667,28.606666666666676,93.8,True,8,0,6,7,0,441.994,349.7186666666666,369.18822222222224,65.28589997961399,1,1,0
2026-07-06 08:15:00,254.98533333333333,58.476400000000005,60.22034,0.2105933333333333,143.58896666666666,26.52,28.686666666666667,93.02,True,8,15,6,7,0,315.85200000000003,441.994,337.61044444444445,95.38413275064467,1,1,0
2026-07-06 08:30:00,375.3233333333333,83.84589333333334,87.06312666666666,0.5059866666666666,125.97120666666665,26.613333333333337,28.600000000000005,92.45333333333332,True,8,30,6,7,0,254.98533333333333,315.85200000000003,315.3868888888889,60.17034823947147,1,1,0
2026-07-06 08:45:00,650.6693333333334,140.41620000000003,147.30713333333333,0.3302733333333333,138.13700666666668,26.76666666666667,29.85333333333333,92.07333333333334,True,8,45,6,7,0,375.3233333333333,254.98533333333333,426.9926666666667,202.83921457482856,1,1,0
2026-07-06 09:00:00,947.335,204.72748,210.1882,0.04045,111.19256,27.23,32.42,90.76,True,9,0,6,7,0,650.6693333333334,375.3233333333333,657.775888888889,286.07204346037133,1,1,0
