Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) BLK-B:INV3,DC_Power (KW) BLK-B:INV3,AC_Active Output Power (KW) BLK-B:INV4,DC_Power (KW) BLK-B:INV4,AC_Active Output Power (KW) BLK-A:INV1,DC_Power (KW) BLK-A:INV1,AC_Active Output Power (KW) BLK-A:INV2,DC_Power (KW) BLK-A:INV2,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
26-07-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.91,26.88,0.28,0.36,0.0,0.0
26-07-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11,27.15,0.34,0.38,0.0,0.0
26-07-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.55,26.59,0.36,0.4,0.0,0.0
26-07-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,25.72,0.34,0.4,0.0,0.0
26-07-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.31,25.19,0.39,0.42,0.0,0.0
26-07-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,26.3,0.29,0.4,0.0,0.0
26-07-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.24,26.27,0.4,0.43,0.0,0.0
26-07-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,25.93,0.4,0.41,0.0,0.0
26-07-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19,26.14,0.42,0.43,0.0,0.0
26-07-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.63,26.51,0.36,0.42,0.0,0.0
26-07-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,26.8,0.29,0.4,0.0,0.0
26-07-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,26.84,0.39,0.42,0.0,0.0
26-07-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.59,26.59,0.37,0.43,0.0,0.0
26-07-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,26.24,0.38,0.46,0.0,0.0
26-07-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,26.02,0.45,0.45,0.0,0.0
26-07-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.03,25.98,0.46,0.44,0.0,0.0
26-07-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.52,0.66,0.42,0.0,0.0
26-07-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.09,26.09,0.49,0.39,0.0,0.0
26-07-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,26.07,0.37,0.42,0.0,0.0
26-07-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,26.08,0.56,0.47,0.0,0.0
26-07-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.34,26.32,0.59,0.46,0.0,0.0
26-07-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.48,26.3,0.71,0.46,0.0,0.0
26-07-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11,25.94,0.63,0.42,0.0,0.0
26-07-2026 06:00,0.0,0.26,0.28,0.0,0.0,0.27,0.28,0.0,0.0,26.61,26.57,1.84,1.42,0.0,0.0
26-07-2026 06:15,19.33,8.95,9.25,0.0,0.0,9.36,9.68,0.0,0.0,26.89,26.85,6.11,5.71,0.0,28.98
26-07-2026 06:30,103.83,29.67,30.61,26.16,26.99,29.42,30.35,0.0,0.0,27.22,27.26,15.25,14.76,0.01,62.42
26-07-2026 06:45,198.99,52.45,54.07,53.57,55.22,51.53,53.13,0.0,0.0,27.28,27.31,24.41,23.84,0.03,74.74
26-07-2026 07:00,355.42,91.13,93.43,92.23,94.54,90.23,92.52,0.0,0.0,27.89,27.97,40.3,39.62,0.07,81.07
26-07-2026 07:15,565.9,143.46,146.2,146.08,148.86,141.29,144.0,0.0,0.0,28.66,28.74,62.04,61.12,0.13,84.12
