Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) BLK-B:INV3,DC_Power (KW) BLK-B:INV3,AC_Active Output Power (KW) BLK-B:INV4,DC_Power (KW) BLK-B:INV4,AC_Active Output Power (KW) BLK-A:INV1,DC_Power (KW) BLK-A:INV1,AC_Active Output Power (KW) BLK-A:INV2,DC_Power (KW) BLK-A:INV2,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
28-07-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,25.86,0.57,0.47,0.0,0.0
28-07-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.31,25.35,0.3,0.44,0.0,0.0
28-07-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.54,25.59,0.42,0.51,0.0,0.0
28-07-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.72,25.82,0.26,0.42,0.0,0.0
28-07-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.67,25.7,0.36,0.46,0.0,0.0
28-07-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.21,25.28,0.35,0.45,0.0,0.0
28-07-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.95,24.95,0.33,0.43,0.0,0.0
28-07-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.41,25.47,0.41,0.49,0.0,0.0
28-07-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.29,25.25,0.22,0.37,0.0,0.0
28-07-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,25.68,0.33,0.44,0.0,0.0
28-07-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.52,0.34,0.44,0.0,0.0
28-07-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.37,25.4,0.43,0.5,0.0,0.0
28-07-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86,26.01,0.4,0.5,0.0,0.0
28-07-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,25.76,0.38,0.48,0.0,0.0
28-07-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.87,25.92,0.32,0.44,0.0,0.0
28-07-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68,25.71,0.31,0.46,0.0,0.0
28-07-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,25.63,0.41,0.49,0.0,0.0
28-07-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.54,25.6,0.35,0.47,0.0,0.0
28-07-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,25.11,0.4,0.48,0.0,0.0
28-07-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,25.49,0.39,0.49,0.0,0.0
28-07-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,25.94,0.37,0.5,0.0,0.0
28-07-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68,25.74,0.37,0.47,0.0,0.0
28-07-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85,25.87,0.58,0.45,0.0,0.0
28-07-2026 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.15,26.21,1.64,1.24,0.0,0.0
28-07-2026 06:15,0.0,0.0,0.0,0.0,0.0,1.35,1.41,0.0,0.0,25.89,25.98,3.51,3.18,0.0,0.0
28-07-2026 06:30,25.79,8.13,8.4,4.59,4.74,12.79,13.21,0.0,0.0,26.05,26.07,7.83,7.38,0.0,30.07
28-07-2026 06:45,122.71,35.6,36.71,35.45,36.56,34.72,35.81,0.0,0.0,26.49,26.47,16.3,15.9,0.02,68.83
28-07-2026 07:00,401.38,109.37,111.81,111.75,114.23,103.29,105.66,0.0,0.0,26.92,27.09,43.7,43.32,0.05,84.11
28-07-2026 07:15,894.66,226.86,231.55,232.62,237.3,224.84,229.51,0.0,0.0,27.66,27.84,89.78,89.13,0.15,91.53
28-07-2026 07:30,803.71,200.34,205.1,206.37,211.17,201.15,205.93,0.0,0.0,27.16,27.05,83.56,82.84,0.23,88.16
28-07-2026 07:45,1167.21,293.09,298.66,306.1,311.87,286.84,292.31,0.0,0.0,28.61,28.8,119.37,117.47,0.35,90.15
28-07-2026 08:00,1330.89,333.28,339.45,344.48,350.8,330.2,336.32,0.0,0.0,28.59,28.87,134.24,132.92,0.49,91.4
28-07-2026 08:15,1222.59,300.95,306.68,321.9,327.9,293.89,299.54,0.0,0.0,28.32,28.34,124.19,122.3,0.62,90.66
28-07-2026 08:30,1859.41,476.11,484.12,491.86,500.11,466.72,474.61,0.0,0.0,28.56,28.56,184.17,183.23,0.8,93.06
28-07-2026 08:45,2576.67,659.36,670.11,679.21,690.29,643.17,653.66,0.0,0.0,31.25,31.33,273.2,270.36,1.06,87.9
28-07-2026 09:00,2581.88,622.04,632.24,639.83,650.33,644.71,655.28,0.0,0.0,34.02,34.34,268.38,264.93,1.34,90.69
28-07-2026 09:15,2166.66,537.32,546.19,554.77,563.92,541.0,549.93,0.0,0.0,34.25,34.84,225.67,221.43,1.58,90.6
28-07-2026 09:30,2568.57,636.42,646.81,661.16,671.89,637.91,648.33,0.0,0.0,34.6,35.2,263.0,259.01,1.84,92.29
28-07-2026 09:45,1959.02,498.4,506.77,517.82,526.44,481.9,490.04,0.0,0.0,34.94,35.75,205.56,201.74,2.05,90.18
28-07-2026 10:00,3461.62,869.2,883.36,886.82,901.31,869.34,883.51,0.0,0.0,36.26,37.05,352.55,350.18,2.4,93.43
28-07-2026 10:15,3794.35,936.57,952.01,968.67,984.75,940.36,955.87,0.0,0.0,39.06,39.96,396.01,393.16,2.79,92.25
28-07-2026 10:30,2853.16,672.76,683.77,702.07,713.59,702.02,713.5,0.0,0.0,39.12,39.89,297.49,294.89,3.1,92.36
