Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) BLK-B:INV3,DC_Power (KW) BLK-B:INV3,AC_Active Output Power (KW) BLK-B:INV4,DC_Power (KW) BLK-B:INV4,AC_Active Output Power (KW) BLK-A:INV1,DC_Power (KW) BLK-A:INV1,AC_Active Output Power (KW) BLK-A:INV2,DC_Power (KW) BLK-A:INV2,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
06-08-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.01,26.92,0.35,0.42,0.0,0.0
06-08-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,27.12,0.34,0.47,0.0,0.0
06-08-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.07,26.94,0.21,0.4,0.0,0.0
06-08-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14,27.16,0.37,0.46,0.0,0.0
06-08-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11,27.17,0.29,0.43,0.0,0.0
06-08-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.15,27.12,0.35,0.46,0.0,0.0
06-08-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11,27.1,0.33,0.44,0.0,0.0
06-08-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.07,27.08,0.36,0.44,0.0,0.0
06-08-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.49,26.39,0.59,0.42,0.0,0.0
06-08-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.51,26.42,0.44,0.4,0.0,0.0
06-08-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.24,26.18,0.26,0.42,0.0,0.0
06-08-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.21,26.14,0.3,0.43,0.0,0.0
06-08-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,26.66,0.53,0.44,0.0,0.0
06-08-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56,26.53,0.52,0.43,0.0,0.0
06-08-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68,26.68,0.41,0.4,0.0,0.0
06-08-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73,26.71,0.49,0.41,0.0,0.0
06-08-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.71,26.65,0.49,0.43,0.0,0.0
06-08-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.05,27.07,0.62,0.45,0.0,0.0
06-08-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08,27.13,0.57,0.42,0.0,0.0
06-08-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,26.76,0.62,0.38,0.0,0.0
06-08-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,26.83,0.53,0.43,0.0,0.0
06-08-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73,26.73,0.37,0.41,0.0,0.0
06-08-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.69,26.66,0.61,0.43,0.0,0.0
06-08-2026 06:00,3.85,0.0,0.0,0.0,0.0,2.51,2.61,0.0,0.0,26.65,26.6,2.79,2.11,0.0,12.62
06-08-2026 06:15,38.65,0.0,0.0,0.0,0.0,25.96,26.79,0.0,0.0,26.75,26.76,13.35,12.53,0.01,26.49
06-08-2026 06:30,128.74,0.0,0.0,0.0,0.0,73.42,75.43,0.0,0.0,27.51,27.68,32.81,31.84,0.02,36.02
06-08-2026 06:45,367.11,0.0,0.0,113.98,116.27,116.04,118.49,31.6,32.25,28.1,28.17,51.75,50.68,0.06,65.27
