Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) BLK-B:INV3,DC_Power (KW) BLK-B:INV3,AC_Active Output Power (KW) BLK-B:INV4,DC_Power (KW) BLK-B:INV4,AC_Active Output Power (KW) BLK-A:INV1,DC_Power (KW) BLK-A:INV1,AC_Active Output Power (KW) BLK-A:INV2,DC_Power (KW) BLK-A:INV2,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
24-07-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.69,27.69,0.28,0.36,0.0,0.0
24-07-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.53,27.62,0.2,0.33,0.0,0.0
24-07-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.66,27.67,0.31,0.35,0.0,0.0
24-07-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,27.66,0.22,0.33,0.0,0.0
24-07-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61,27.53,0.37,0.37,0.0,0.0
24-07-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,27.71,0.34,0.36,0.0,0.0
24-07-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.39,27.43,0.3,0.36,0.0,0.0
24-07-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.63,27.65,0.27,0.36,0.0,0.0
24-07-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48,27.51,0.27,0.36,0.0,0.0
24-07-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.17,27.19,0.34,0.36,0.0,0.0
24-07-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.13,27.2,0.31,0.36,0.0,0.0
24-07-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.95,27.03,0.32,0.37,0.0,0.0
24-07-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68,26.62,0.31,0.36,0.0,0.0
24-07-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.69,26.65,0.24,0.34,0.0,0.0
24-07-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.95,27.03,0.28,0.35,0.0,0.0
24-07-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88,26.95,0.3,0.37,0.0,0.0
24-07-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.17,27.18,0.33,0.37,0.0,0.0
24-07-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.13,27.23,0.24,0.35,0.0,0.0
24-07-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.01,27.03,0.34,0.39,0.0,0.0
24-07-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.04,27.04,0.31,0.38,0.0,0.0
24-07-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.29,27.34,0.3,0.37,0.0,0.0
24-07-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.01,27.05,0.28,0.37,0.0,0.0
24-07-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19,27.28,0.77,0.54,0.0,0.0
24-07-2026 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.17,27.4,2.6,2.09,0.0,0.0
24-07-2026 06:15,0.0,0.97,1.0,0.44,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-07-2026 06:30,165.22,30.61,31.57,30.84,31.81,43.68,45.04,44.42,45.8,26.98,27.03,20.49,19.99,0.01,73.85
24-07-2026 06:45,279.17,69.83,71.73,71.01,72.93,71.16,73.07,71.59,73.52,27.35,27.41,31.24,30.91,0.04,81.97
24-07-2026 07:00,609.47,154.24,157.14,158.71,161.68,151.35,154.21,156.07,158.99,28.17,28.22,65.6,65.1,0.1,85.51
24-07-2026 07:15,583.54,148.1,150.96,152.78,155.91,144.5,147.57,149.33,152.43,28.83,29.0,61.1,59.98,0.16,88.14
24-07-2026 07:30,1004.83,252.64,256.89,259.76,264.99,247.17,252.34,252.77,257.96,29.06,29.18,110.32,108.56,0.26,84.13
24-07-2026 07:45,1556.34,388.83,395.07,399.63,406.69,384.78,391.65,391.83,398.79,30.88,30.91,164.76,161.53,0.42,87.9
24-07-2026 08:00,1727.16,431.33,438.34,447.7,455.35,419.44,426.76,432.54,440.02,32.45,32.84,180.42,177.07,0.61,89.66
24-07-2026 08:15,1626.0,405.14,411.69,422.31,429.64,395.63,402.63,405.09,412.21,32.73,32.96,179.2,174.24,0.78,85.08
24-07-2026 08:30,1566.01,391.67,397.93,406.78,413.93,381.91,388.74,392.24,399.21,32.88,33.39,164.08,159.85,0.94,89.55
24-07-2026 08:45,2524.81,635.33,646.68,660.39,671.1,626.47,636.68,642.45,652.89,34.08,34.6,273.0,269.2,1.2,87.2
24-07-2026 09:00,3102.63,769.12,783.71,797.71,810.58,760.09,772.31,778.15,790.68,36.41,37.16,332.56,329.03,1.52,88.83
24-07-2026 09:15,3939.54,994.05,1015.07,1007.36,1024.24,957.36,973.25,994.53,1011.17,38.56,39.55,429.34,417.02,1.93,88.16
24-07-2026 09:30,3698.88,919.09,937.97,982.85,999.45,882.24,896.75,936.94,952.63,38.77,39.08,401.04,397.24,2.31,88.69
24-07-2026 09:45,4296.51,1067.76,1090.92,1122.73,1141.97,1049.97,1067.7,1077.31,1095.59,40.91,41.43,446.85,443.12,2.76,93.31
24-07-2026 10:00,4194.14,1038.06,1060.31,1071.99,1090.14,1029.44,1046.73,1053.61,1071.39,40.35,41.12,447.95,444.96,3.19,90.64
24-07-2026 10:15,5179.11,1279.45,1308.91,1336.71,1360.72,1268.41,1290.77,1307.06,1330.34,41.06,41.87,550.88,544.83,3.73,91.29
24-07-2026 10:30,4558.93,1129.05,1154.06,1177.44,1197.86,1116.85,1135.95,1146.13,1165.87,42.41,43.26,491.51,484.67,4.2,90.59
24-07-2026 10:45,4538.57,1124.62,1149.5,1165.35,1185.44,1113.4,1132.41,1144.6,1164.25,42.1,42.92,480.96,476.85,4.67,92.04
24-07-2026 11:00,5049.66,1244.06,1272.47,1289.36,1312.25,1244.13,1265.96,1267.96,1290.34,42.52,43.61,533.7,528.43,5.21,92.46
24-07-2026 11:15,4789.62,1185.82,1212.46,1226.59,1248.09,1190.46,1211.13,1209.45,1230.54,42.3,43.11,508.56,502.9,5.71,91.94
24-07-2026 11:30,5071.18,1229.4,1257.22,1283.67,1306.6,1271.13,1293.75,1304.96,1328.48,42.79,44.0,555.83,547.74,6.22,89.26
24-07-2026 11:45,4621.73,1136.84,1162.01,1216.52,1237.99,1121.66,1140.87,1153.18,1173.1,42.94,44.0,505.91,498.23,6.72,89.43
24-07-2026 12:00,5763.09,1338.43,1369.27,1618.68,1650.15,1410.89,1436.81,1477.96,1505.63,43.29,44.19,624.9,617.12,7.3,90.42
24-07-2026 12:15,7619.14,1378.27,1410.13,2139.89,2186.28,2033.25,2076.82,2108.24,2153.86,49.14,50.63,961.41,945.22,8.11,79.71
24-07-2026 12:30,5619.12,1292.34,1321.94,1408.2,1434.21,1455.75,1483.19,1453.82,1481.08,50.76,52.16,662.75,656.11,8.69,85.89
24-07-2026 12:45,6225.41,1360.75,1392.2,1695.04,1728.75,1600.57,1631.54,1617.21,1648.62,47.16,48.16,710.25,704.21,9.33,87.39
24-07-2026 13:00,6454.47,1330.97,1361.54,1767.83,1803.93,1759.19,1794.62,1736.67,1771.67,47.75,48.89,784.57,776.09,10.01,82.24
24-07-2026 13:15,6799.6,1374.07,1405.83,1848.54,1886.64,1777.47,1813.83,1925.25,1965.77,52.5,54.05,851.53,857.14,10.73,81.53
24-07-2026 13:30,5806.2,1280.35,1309.61,1513.56,1542.53,1537.62,1567.78,1540.74,1570.7,50.56,52.43,719.42,713.94,11.34,81.69
24-07-2026 13:45,6792.0,1341.48,1372.29,1819.22,1856.96,1824.37,1862.41,1805.27,1842.65,50.06,51.63,856.5,858.06,12.04,80.09
24-07-2026 14:00,4885.99,1117.35,1141.84,1254.1,1276.86,1231.37,1253.6,1238.38,1260.76,48.21,49.28,594.33,589.35,12.56,82.35
24-07-2026 14:15,3832.43,882.78,900.85,1023.63,1042.25,998.43,1016.74,955.09,972.02,44.39,45.36,436.51,437.4,12.97,86.49
24-07-2026 14:30,2937.77,728.55,742.4,757.24,769.69,719.99,731.79,732.52,744.53,39.76,40.64,334.09,331.53,13.28,84.92
24-07-2026 14:45,2607.03,623.57,635.02,673.11,684.32,639.01,649.64,660.73,671.8,38.75,39.49,266.57,264.71,13.54,94.04
24-07-2026 15:00,3407.97,838.8,855.35,888.73,903.28,823.48,836.88,853.33,867.26,39.56,40.3,343.63,339.96,13.89,95.69
24-07-2026 15:15,5952.1,1322.7,1353.08,1563.58,1593.69,1522.84,1551.85,1591.86,1622.76,43.56,44.61,688.99,688.91,14.51,84.79
24-07-2026 15:30,3314.58,799.06,815.23,887.93,903.26,795.81,809.41,865.54,880.45,46.65,48.07,417.17,417.58,14.87,79.04
24-07-2026 15:45,5041.43,1174.27,1200.55,1367.29,1392.76,1204.19,1226.0,1295.11,1318.86,45.28,46.56,562.01,571.16,15.39,88.71
24-07-2026 16:00,3460.66,809.6,825.75,1059.62,1077.91,740.38,752.63,827.32,841.16,45.08,46.47,368.92,370.9,15.74,92.68
24-07-2026 16:15,2352.98,552.27,562.02,602.51,612.58,589.43,599.19,623.51,633.87,41.58,42.62,302.03,299.86,16.01,75.82
24-07-2026 16:30,1903.41,473.73,481.56,493.47,501.7,464.05,471.9,474.9,482.88,39.05,39.76,202.91,202.98,16.2,90.32
24-07-2026 16:45,1816.83,436.97,444.2,437.9,445.45,465.33,473.27,461.0,468.86,37.95,38.67,207.53,210.64,16.39,83.9
24-07-2026 17:00,1281.17,308.0,313.07,312.82,318.77,322.64,328.74,326.66,332.81,37.04,37.29,140.1,142.47,16.53,87.3
24-07-2026 17:15,409.02,107.11,109.55,111.68,115.03,99.61,102.6,102.93,106.03,31.12,31.4,41.68,38.24,16.57,91.41
24-07-2026 17:30,1072.76,267.3,271.77,270.76,276.12,272.47,277.9,270.74,276.14,29.48,29.53,108.31,106.15,16.68,91.64
24-07-2026 17:45,994.65,249.64,253.84,252.57,257.73,246.46,251.53,251.31,256.44,30.45,30.44,111.03,111.2,16.78,83.22
24-07-2026 18:00,495.93,117.31,119.47,146.81,150.93,139.5,143.5,142.57,146.61,31.04,31.08,69.47,68.93,16.84,66.47
24-07-2026 18:15,305.78,0.0,0.0,106.21,109.46,103.91,107.1,105.49,108.72,30.87,31.14,53.32,54.15,16.87,53.37
24-07-2026 18:30,144.75,0.0,0.0,52.41,54.07,52.27,53.94,52.65,54.32,30.33,30.56,28.88,30.95,16.88,46.54
24-07-2026 18:45,34.87,0.0,0.0,14.2,14.7,14.06,14.56,14.11,14.61,29.32,29.53,10.16,9.9,16.89,31.74
24-07-2026 19:00,0.0,0.23,0.25,1.42,1.49,0.2,0.22,0.41,0.43,28.39,28.4,1.2,1.0,16.89,0.0
24-07-2026 19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,27.53,0.21,0.35,16.89,0.0
24-07-2026 19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33,27.21,0.16,0.34,16.89,0.0
24-07-2026 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.94,26.79,0.17,0.34,16.89,0.0
24-07-2026 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85,26.7,0.24,0.38,16.89,0.0
24-07-2026 20:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,26.72,0.36,0.36,16.89,0.0
24-07-2026 20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.63,27.57,0.58,0.32,16.89,0.0
24-07-2026 20:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.62,0.71,0.34,16.89,0.0
24-07-2026 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.31,27.03,0.34,0.33,16.89,0.0
24-07-2026 21:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.46,27.28,0.29,0.4,16.89,0.0
24-07-2026 21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.63,27.45,0.33,0.41,16.89,0.0
24-07-2026 21:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52,27.34,0.28,0.4,16.89,0.0
24-07-2026 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,26.59,0.26,0.39,16.89,0.0
