Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) BLK-B:INV3,DC_Power (KW) BLK-B:INV3,AC_Active Output Power (KW) BLK-B:INV4,DC_Power (KW) BLK-B:INV4,AC_Active Output Power (KW) BLK-A:INV1,DC_Power (KW) BLK-A:INV1,AC_Active Output Power (KW) BLK-A:INV2,DC_Power (KW) BLK-A:INV2,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
16-07-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.79,27.73,0.31,0.38,0.0,0.0
16-07-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.79,27.66,0.31,0.38,0.0,0.0
16-07-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58,27.41,0.32,0.38,0.0,0.0
16-07-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.59,27.6,0.26,0.38,0.0,0.0
16-07-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.15,27.08,0.25,0.37,0.0,0.0
16-07-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.46,27.37,0.22,0.36,0.0,0.0
16-07-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.08,27.93,0.83,0.39,0.0,0.0
16-07-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.96,28.94,0.73,0.38,0.0,0.0
16-07-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,28.59,0.26,0.36,0.0,0.0
16-07-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,29.09,0.28,0.36,0.0,0.0
16-07-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.81,28.65,0.21,0.34,0.0,0.0
16-07-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.76,28.54,0.31,0.34,0.0,0.0
16-07-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.08,29.12,0.2,0.34,0.0,0.0
16-07-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.76,28.77,0.2,0.33,0.0,0.0
16-07-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.98,0.21,0.34,0.0,0.0
16-07-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.15,29.02,0.22,0.34,0.0,0.0
16-07-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.87,28.87,0.22,0.34,0.0,0.0
16-07-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.87,29.08,0.26,0.33,0.0,0.0
16-07-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.11,29.05,0.22,0.34,0.0,0.0
16-07-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.03,28.7,0.28,0.33,0.0,0.0
16-07-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.76,28.84,0.27,0.32,0.0,0.0
16-07-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,27.21,0.23,0.33,0.0,0.0
16-07-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23,26.26,0.28,0.37,0.0,0.0
16-07-2026 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.63,26.75,0.58,0.43,0.0,0.0
16-07-2026 06:15,0.0,0.0,0.0,0.0,0.0,1.8,1.88,2.26,2.35,26.67,26.6,2.95,2.18,0.0,0.0
16-07-2026 06:30,16.37,4.95,5.12,4.97,5.14,6.58,6.82,6.59,6.83,26.67,26.5,3.51,2.99,0.0,42.72
16-07-2026 06:45,33.31,12.41,12.83,12.43,12.84,12.28,12.69,12.19,12.6,26.61,26.41,4.91,4.03,0.01,61.99
16-07-2026 07:00,84.58,25.51,26.32,25.65,26.46,24.91,25.71,24.72,25.5,26.92,26.82,9.67,8.97,0.01,80.09
16-07-2026 07:15,214.56,58.1,59.83,57.69,59.41,59.46,61.24,58.31,60.05,27.09,27.03,21.78,20.0,0.03,90.29
16-07-2026 07:30,204.89,52.07,53.65,55.91,57.58,50.98,52.52,53.54,55.14,27.59,27.62,22.77,20.01,0.05,82.62
16-07-2026 07:45,224.49,59.81,61.63,61.72,63.59,58.62,60.41,59.05,60.85,26.78,26.88,24.22,22.91,0.08,84.84
16-07-2026 08:00,472.21,123.44,126.03,124.49,127.09,124.42,127.03,122.51,125.09,26.71,26.61,49.35,49.59,0.13,87.55
16-07-2026 08:15,1054.27,275.18,279.75,280.4,285.84,270.79,276.04,269.38,274.61,28.07,28.34,108.36,108.87,0.23,89.51
16-07-2026 08:30,1832.58,460.84,468.42,475.34,483.34,460.67,468.47,461.85,469.67,30.02,30.41,185.92,185.2,0.43,91.4
16-07-2026 08:45,2433.14,606.66,617.24,633.83,644.2,601.73,611.64,609.23,619.24,31.91,32.03,255.26,252.01,0.67,89.08
16-07-2026 09:00,2483.24,616.11,626.87,643.46,654.04,613.53,623.67,621.21,631.46,35.92,36.38,268.71,264.1,0.93,87.81
16-07-2026 09:15,2476.27,605.94,616.52,630.59,640.91,611.42,621.46,620.17,630.35,36.6,36.83,268.88,264.45,1.19,87.76
16-07-2026 09:30,2276.99,562.64,572.26,584.23,593.88,563.59,572.89,570.28,579.7,36.29,36.62,241.5,236.41,1.43,89.73
16-07-2026 09:45,2192.81,536.47,545.55,554.98,564.14,544.86,553.85,550.27,559.35,36.26,36.58,227.86,224.97,1.65,91.57
16-07-2026 10:00,2064.13,511.67,520.25,530.25,538.99,512.38,520.83,517.78,526.31,35.61,35.62,209.61,206.67,1.88,93.45
16-07-2026 10:15,2165.99,534.12,543.16,556.0,565.17,532.58,541.37,541.69,550.62,35.03,34.94,219.35,215.82,2.09,93.48
16-07-2026 10:30,2296.05,578.04,588.03,600.56,610.41,567.9,577.26,575.58,585.05,35.91,36.05,228.9,226.96,2.33,95.31
16-07-2026 10:45,2619.29,638.44,649.74,663.05,673.85,648.53,659.13,656.16,666.87,37.57,37.76,270.64,269.01,2.6,92.6
16-07-2026 11:00,3077.33,778.72,793.65,807.97,821.12,768.09,780.58,774.29,786.88,38.27,38.46,313.01,311.42,2.92,94.35
16-07-2026 11:15,4094.26,1029.88,1051.88,1071.68,1089.83,996.02,1012.63,1024.05,1041.23,40.01,40.05,418.55,414.34,3.35,94.57
16-07-2026 11:30,5347.93,1314.65,1344.93,1388.3,1413.59,1322.87,1346.58,1341.18,1365.32,43.05,43.29,569.63,564.64,3.9,91.95
16-07-2026 11:45,4570.48,1116.55,1141.15,1162.76,1182.78,1135.03,1154.47,1146.3,1165.98,44.87,45.09,499.69,496.68,4.38,90.29
16-07-2026 12:00,4964.59,1229.18,1257.19,1270.83,1293.28,1242.46,1264.28,1256.12,1278.24,43.88,43.88,538.27,538.1,4.88,90.66
16-07-2026 12:15,4900.03,1187.94,1214.77,1243.13,1264.97,1223.89,1245.27,1230.59,1252.13,45.08,44.84,534.77,531.43,5.4,90.53
16-07-2026 12:30,4789.12,1164.1,1190.21,1202.0,1222.86,1209.17,1230.19,1210.49,1231.54,45.32,45.49,520.07,516.53,5.9,91.08
16-07-2026 12:45,3695.46,891.29,909.27,933.82,949.22,908.66,923.57,922.41,937.59,43.55,43.5,398.5,390.33,6.29,91.02
16-07-2026 13:00,2728.78,663.52,675.43,693.75,705.0,669.94,680.83,680.91,691.96,39.33,39.16,283.31,275.9,6.57,92.84
16-07-2026 13:15,2558.93,633.78,644.93,662.28,673.1,630.83,641.22,640.54,651.06,38.34,38.35,257.8,252.47,6.84,95.28
16-07-2026 13:30,2631.32,655.29,666.96,682.08,693.14,650.41,661.06,658.96,669.73,37.64,37.62,265.13,260.75,7.11,94.98
16-07-2026 13:45,3108.65,778.05,792.86,813.37,826.46,765.47,777.74,778.9,791.39,39.08,39.19,314.11,309.43,7.43,95.3
16-07-2026 14:00,3675.48,914.24,932.86,955.35,971.15,908.35,923.24,922.46,937.63,40.92,41.1,380.68,377.03,7.82,93.7
16-07-2026 14:15,3670.66,900.64,918.86,932.02,947.37,922.32,937.48,927.28,942.54,42.14,42.56,389.29,389.07,8.2,91.99
16-07-2026 14:30,3409.2,829.28,845.47,851.23,865.03,864.8,878.85,861.38,875.37,42.01,42.14,361.95,362.64,8.55,91.84
16-07-2026 14:45,3244.42,800.18,815.58,823.76,837.03,815.5,828.62,819.67,832.87,41.71,41.69,341.45,342.3,8.89,92.52
16-07-2026 15:00,3063.85,751.78,765.89,779.16,791.64,754.94,767.04,768.19,780.49,41.08,41.15,323.25,321.12,9.22,92.05
16-07-2026 15:15,2826.78,693.64,706.26,722.56,734.14,697.27,708.52,707.33,718.72,39.9,39.87,298.69,293.53,9.51,91.45
16-07-2026 15:30,2520.12,622.18,633.08,647.32,657.93,619.47,629.68,630.36,640.73,39.42,39.57,262.55,256.98,9.77,92.56
16-07-2026 15:45,2447.11,603.36,613.84,625.86,636.17,603.16,613.13,612.62,622.74,39.35,39.7,256.24,251.02,10.03,92.06
16-07-2026 16:00,1502.33,99.03,100.62,70.41,71.66,93.81,95.43,95.12,96.77,38.78,38.97,195.69,187.78,10.06,73.83
16-07-2026 16:15,1228.67,299.24,304.15,308.49,314.29,303.66,309.38,307.47,313.25,37.58,37.79,131.77,128.97,10.18,89.22
16-07-2026 16:30,1076.67,269.84,274.29,274.69,279.97,271.25,276.48,271.81,277.04,35.64,35.72,111.15,111.88,10.29,91.93
16-07-2026 16:45,1288.37,320.29,325.55,326.46,332.53,326.67,332.75,325.69,331.74,35.64,35.87,134.12,136.28,10.43,91.17
16-07-2026 17:00,1318.77,328.81,334.18,337.71,343.93,330.77,336.9,332.68,338.84,35.95,36.26,139.74,140.0,10.56,89.68
16-07-2026 17:15,1133.87,275.03,279.58,282.85,288.3,282.55,288.0,284.78,290.25,35.78,36.2,126.02,125.21,10.69,85.44
16-07-2026 17:30,644.93,156.87,159.8,162.05,166.42,160.45,164.8,162.67,167.04,34.55,35.02,72.25,71.61,10.75,84.33
16-07-2026 17:45,350.71,87.31,89.55,88.85,91.62,88.65,91.41,89.78,92.57,32.79,33.2,39.58,39.45,10.79,83.11
16-07-2026 18:00,181.99,47.62,49.1,47.44,48.96,47.37,48.89,47.76,49.29,32.14,32.42,21.63,22.24,10.81,78.68
16-07-2026 18:15,120.3,33.58,34.63,32.36,33.42,32.71,33.78,32.66,33.73,30.75,30.92,15.08,15.74,10.82,74.19
16-07-2026 18:30,63.48,19.51,20.15,18.19,18.82,18.86,19.52,18.96,19.62,30.19,30.27,9.9,10.24,10.83,59.52
16-07-2026 18:45,14.52,4.79,4.97,4.45,4.63,4.47,4.67,4.44,4.63,29.81,29.8,3.04,3.01,10.83,36.68
16-07-2026 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,29.39,0.17,0.3,10.83,0.0
16-07-2026 19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,29.26,0.17,0.31,10.83,0.0
16-07-2026 19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.04,29.02,0.18,0.33,10.83,0.0
16-07-2026 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.66,28.71,0.24,0.34,10.83,0.0
16-07-2026 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.79,28.92,0.2,0.35,10.83,0.0
16-07-2026 20:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.61,28.68,0.2,0.33,10.83,0.0
16-07-2026 20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.19,28.13,0.28,0.37,10.83,0.0
16-07-2026 20:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,29.0,0.23,0.37,10.83,0.0
16-07-2026 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.62,28.64,0.31,0.39,10.83,0.0
16-07-2026 21:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.47,28.86,0.33,0.37,10.83,0.0
16-07-2026 21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.44,28.59,0.3,0.4,10.83,0.0
16-07-2026 21:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.35,27.81,0.33,0.35,10.83,0.0
16-07-2026 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.19,28.2,0.28,0.38,10.83,0.0
16-07-2026 22:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.04,28.19,0.3,0.39,10.83,0.0
16-07-2026 22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.35,28.0,0.28,0.38,10.83,0.0
16-07-2026 22:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.28,28.2,0.26,0.39,10.83,0.0
16-07-2026 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.36,28.19,0.22,0.35,10.83,0.0
16-07-2026 23:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.24,28.21,0.25,0.37,10.83,0.0
16-07-2026 23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.31,28.11,0.3,0.39,10.83,0.0
16-07-2026 23:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.35,28.3,0.29,0.39,10.83,0.0
