Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
1,00:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,2026-07-31T00:01:23+05:30,,1
2,00:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,2026-07-31T00:01:23+05:30,,1
3,00:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,2026-07-31T00:01:23+05:30,,1
4,00:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,2026-07-31T00:01:23+05:30,,1
5,01:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-05+0530.csv,2026-07-31T00:01:23+05:30,,1
6,01:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-35+0530.csv,2026-07-31T00:31:29+05:30,2026-07-31T01:16:29+05:30,6
7,01:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-00-35+0530.csv,2026-07-31T00:31:29+05:30,2026-07-31T01:16:29+05:30,6
8,01:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-05+0530.csv,2026-07-31T01:01:22+05:30,2026-07-31T01:46:22+05:30,8
9,02:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-05+0530.csv,2026-07-31T01:01:22+05:30,2026-07-31T01:46:22+05:30,8
10,02:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-35+0530.csv,2026-07-31T01:31:27+05:30,2026-07-31T02:16:27+05:30,10
11,02:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-01-35+0530.csv,2026-07-31T01:31:27+05:30,2026-07-31T02:16:27+05:30,10
12,02:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-05+0530.csv,2026-07-31T02:01:21+05:30,2026-07-31T02:46:21+05:30,12
13,03:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-05+0530.csv,2026-07-31T02:01:21+05:30,2026-07-31T02:46:21+05:30,12
14,03:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-35+0530.csv,2026-07-31T02:31:27+05:30,2026-07-31T03:16:27+05:30,14
15,03:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-02-35+0530.csv,2026-07-31T02:31:27+05:30,2026-07-31T03:16:27+05:30,14
16,03:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-05+0530.csv,2026-07-31T03:01:20+05:30,2026-07-31T03:46:20+05:30,16
17,04:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-05+0530.csv,2026-07-31T03:01:20+05:30,2026-07-31T03:46:20+05:30,16
18,04:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-35+0530.csv,2026-07-31T03:31:27+05:30,2026-07-31T04:16:27+05:30,18
19,04:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-03-35+0530.csv,2026-07-31T03:31:27+05:30,2026-07-31T04:16:27+05:30,18
20,04:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-05+0530.csv,2026-07-31T04:01:24+05:30,2026-07-31T04:46:24+05:30,20
21,05:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-05+0530.csv,2026-07-31T04:01:24+05:30,2026-07-31T04:46:24+05:30,20
22,05:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-35+0530.csv,2026-07-31T04:31:30+05:30,2026-07-31T05:16:30+05:30,22
23,05:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-04-35+0530.csv,2026-07-31T04:31:30+05:30,2026-07-31T05:16:30+05:30,22
24,05:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-05+0530.csv,2026-07-31T05:01:23+05:30,2026-07-31T05:46:23+05:30,24
25,06:00,0.01,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-05+0530.csv,2026-07-31T05:01:23+05:30,2026-07-31T05:46:23+05:30,24
26,06:15,0.06,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-35+0530.csv,2026-07-31T05:31:28+05:30,2026-07-31T06:16:28+05:30,26
27,06:30,0.14,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-05-35+0530.csv,2026-07-31T05:31:28+05:30,2026-07-31T06:16:28+05:30,26
28,06:45,0.28,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-05+0530.csv,2026-07-31T06:01:21+05:30,2026-07-31T06:46:21+05:30,28
29,07:00,0.44,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-05+0530.csv,2026-07-31T06:01:21+05:30,2026-07-31T06:46:21+05:30,28
30,07:15,0.64,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-35+0530.csv,2026-07-31T06:31:29+05:30,2026-07-31T07:16:29+05:30,30
31,07:30,0.81,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-06-35+0530.csv,2026-07-31T06:31:29+05:30,2026-07-31T07:16:29+05:30,30
32,07:45,1.23,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-07-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-07-31-07-05+0530.csv,2026-07-31T07:01:20+05:30,2026-07-31T07:46:20+05:30,32
