Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
1,00:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
2,00:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
3,00:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
4,00:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
5,01:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
6,01:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
7,01:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
8,01:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-05+0530.csv,2026-08-04T00:01:20+05:30,,1
9,02:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-35+0530.csv,2026-08-04T00:31:27+05:30,2026-08-04T02:01:27+05:30,9
10,02:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-00-35+0530.csv,2026-08-04T00:31:27+05:30,2026-08-04T02:01:27+05:30,9
11,02:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-01-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-01-05+0530.csv,2026-08-04T01:01:21+05:30,2026-08-04T02:31:21+05:30,11
12,02:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-01-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-01-05+0530.csv,2026-08-04T01:01:21+05:30,2026-08-04T02:31:21+05:30,11
13,03:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-01-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-04-01-35+0530.csv,2026-08-04T01:31:28+05:30,2026-08-04T03:01:28+05:30,13
