Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
27,06:30,0.12,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-05+0530.csv,2026-08-07T05:01:22+05:30,2026-08-07T06:31:22+05:30,27
28,06:45,0.21,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-05+0530.csv,2026-08-07T05:01:22+05:30,2026-08-07T06:31:22+05:30,27
29,07:00,0.33,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-35+0530.csv,2026-08-07T05:31:27+05:30,2026-08-07T07:01:27+05:30,29
30,07:15,0.46,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-05-35+0530.csv,2026-08-07T05:31:27+05:30,2026-08-07T07:01:27+05:30,29
31,07:30,0.63,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-05+0530.csv,2026-08-07T06:01:22+05:30,2026-08-07T07:31:22+05:30,31
32,07:45,0.78,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-05+0530.csv,2026-08-07T06:01:22+05:30,2026-08-07T07:31:22+05:30,31
33,08:00,0.96,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-35+0530.csv,2026-08-07T06:31:26+05:30,2026-08-07T08:01:26+05:30,33
34,08:15,1.14,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-06-35+0530.csv,2026-08-07T06:31:26+05:30,2026-08-07T08:01:26+05:30,33
35,08:30,1.67,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-05+0530.csv,2026-08-07T07:01:22+05:30,2026-08-07T08:31:22+05:30,35
36,08:45,1.9,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-05+0530.csv,2026-08-07T07:01:22+05:30,2026-08-07T08:31:22+05:30,35
37,09:00,2.06,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-35+0530.csv,2026-08-07T07:31:27+05:30,2026-08-07T09:01:27+05:30,37
38,09:15,2.29,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-07-35+0530.csv,2026-08-07T07:31:27+05:30,2026-08-07T09:01:27+05:30,37
39,09:30,2.45,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-05+0530.csv,2026-08-07T08:01:19+05:30,2026-08-07T09:31:19+05:30,39
40,09:45,2.61,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-05+0530.csv,2026-08-07T08:01:19+05:30,2026-08-07T09:31:19+05:30,39
41,10:00,2.8,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-35+0530.csv,2026-08-07T08:31:27+05:30,2026-08-07T10:01:27+05:30,41
42,10:15,2.83,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-08-35+0530.csv,2026-08-07T08:31:27+05:30,2026-08-07T10:01:27+05:30,41
43,10:30,2.64,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-05+0530.csv,2026-08-07T09:01:19+05:30,2026-08-07T10:31:19+05:30,43
44,10:45,2.67,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-05+0530.csv,2026-08-07T09:01:19+05:30,2026-08-07T10:31:19+05:30,43
45,11:00,2.72,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-35+0530.csv,2026-08-07T09:31:28+05:30,2026-08-07T11:01:28+05:30,45
46,11:15,2.73,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-09-35+0530.csv,2026-08-07T09:31:28+05:30,2026-08-07T11:01:28+05:30,45
47,11:30,2.89,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-05+0530.csv,2026-08-07T10:01:21+05:30,2026-08-07T11:31:21+05:30,47
48,11:45,2.78,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-05+0530.csv,2026-08-07T10:01:21+05:30,2026-08-07T11:31:21+05:30,47
49,12:00,2.68,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-35+0530.csv,2026-08-07T10:31:30+05:30,2026-08-07T12:01:30+05:30,49
50,12:15,2.56,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-10-35+0530.csv,2026-08-07T10:31:30+05:30,2026-08-07T12:01:30+05:30,49
51,12:30,2.08,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-05+0530.csv,2026-08-07T11:01:21+05:30,2026-08-07T12:31:21+05:30,51
52,12:45,2.12,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-05+0530.csv,2026-08-07T11:01:21+05:30,2026-08-07T12:31:21+05:30,51
53,13:00,1.97,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-35+0530.csv,2026-08-07T11:31:30+05:30,2026-08-07T13:01:30+05:30,53
54,13:15,1.99,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-11-35+0530.csv,2026-08-07T11:31:30+05:30,2026-08-07T13:01:30+05:30,53
