Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
1,00:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
2,00:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
3,00:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
4,00:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
5,01:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
6,01:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
7,01:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
8,01:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-05+0530.csv,2026-08-02T00:01:22+05:30,,1
9,02:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-35+0530.csv,2026-08-02T00:31:27+05:30,2026-08-02T02:01:27+05:30,9
10,02:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-00-35+0530.csv,2026-08-02T00:31:27+05:30,2026-08-02T02:01:27+05:30,9
11,02:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-05+0530.csv,2026-08-02T01:01:20+05:30,2026-08-02T02:31:20+05:30,11
12,02:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-05+0530.csv,2026-08-02T01:01:20+05:30,2026-08-02T02:31:20+05:30,11
13,03:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-35+0530.csv,2026-08-02T01:31:27+05:30,2026-08-02T03:01:27+05:30,13
14,03:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-01-35+0530.csv,2026-08-02T01:31:27+05:30,2026-08-02T03:01:27+05:30,13
15,03:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-05+0530.csv,2026-08-02T02:01:23+05:30,2026-08-02T03:31:23+05:30,15
16,03:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-05+0530.csv,2026-08-02T02:01:23+05:30,2026-08-02T03:31:23+05:30,15
17,04:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-35+0530.csv,2026-08-02T02:31:28+05:30,2026-08-02T04:01:28+05:30,17
18,04:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-02-35+0530.csv,2026-08-02T02:31:28+05:30,2026-08-02T04:01:28+05:30,17
19,04:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-05+0530.csv,2026-08-02T03:01:20+05:30,2026-08-02T04:31:20+05:30,19
20,04:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-05+0530.csv,2026-08-02T03:01:20+05:30,2026-08-02T04:31:20+05:30,19
21,05:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-35+0530.csv,2026-08-02T03:31:27+05:30,2026-08-02T05:01:27+05:30,21
22,05:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-03-35+0530.csv,2026-08-02T03:31:27+05:30,2026-08-02T05:01:27+05:30,21
23,05:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-05+0530.csv,2026-08-02T04:01:20+05:30,2026-08-02T05:31:20+05:30,23
24,05:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-05+0530.csv,2026-08-02T04:01:20+05:30,2026-08-02T05:31:20+05:30,23
25,06:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-35+0530.csv,2026-08-02T04:31:29+05:30,2026-08-02T06:01:29+05:30,25
26,06:15,0.02,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-04-35+0530.csv,2026-08-02T04:31:29+05:30,2026-08-02T06:01:29+05:30,25
27,06:30,0.07,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-05+0530.csv,2026-08-02T05:01:21+05:30,2026-08-02T06:31:21+05:30,27
28,06:45,0.12,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-05+0530.csv,2026-08-02T05:01:21+05:30,2026-08-02T06:31:21+05:30,27
29,07:00,0.17,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-35+0530.csv,2026-08-02T05:31:27+05:30,2026-08-02T07:01:27+05:30,29
30,07:15,0.23,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-05-35+0530.csv,2026-08-02T05:31:27+05:30,2026-08-02T07:01:27+05:30,29
31,07:30,0.31,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-05+0530.csv,2026-08-02T06:01:21+05:30,2026-08-02T07:31:21+05:30,31
32,07:45,0.38,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-05+0530.csv,2026-08-02T06:01:21+05:30,2026-08-02T07:31:21+05:30,31
33,08:00,0.45,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-35+0530.csv,2026-08-02T06:31:28+05:30,2026-08-02T08:01:28+05:30,33
34,08:15,0.53,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-06-35+0530.csv,2026-08-02T06:31:28+05:30,2026-08-02T08:01:28+05:30,33
35,08:30,0.61,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-05+0530.csv,2026-08-02T07:01:22+05:30,2026-08-02T08:31:22+05:30,35
36,08:45,0.75,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-05+0530.csv,2026-08-02T07:01:22+05:30,2026-08-02T08:31:22+05:30,35
37,09:00,0.86,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-35+0530.csv,2026-08-02T07:31:29+05:30,2026-08-02T09:01:29+05:30,37
38,09:15,1.02,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-07-35+0530.csv,2026-08-02T07:31:29+05:30,2026-08-02T09:01:29+05:30,37
39,09:30,1.02,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-05+0530.csv,2026-08-02T08:01:21+05:30,2026-08-02T09:31:21+05:30,39
40,09:45,1.03,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-05+0530.csv,2026-08-02T08:01:21+05:30,2026-08-02T09:31:21+05:30,39
41,10:00,1.14,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-35+0530.csv,2026-08-02T08:31:27+05:30,2026-08-02T10:01:27+05:30,41
42,10:15,1.12,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-08-35+0530.csv,2026-08-02T08:31:27+05:30,2026-08-02T10:01:27+05:30,41
43,10:30,1.16,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-05+0530.csv,2026-08-02T09:01:20+05:30,2026-08-02T10:31:20+05:30,43
44,10:45,1.25,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-05+0530.csv,2026-08-02T09:01:20+05:30,2026-08-02T10:31:20+05:30,43
45,11:00,1.25,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-35+0530.csv,2026-08-02T09:31:27+05:30,2026-08-02T11:01:27+05:30,45
46,11:15,1.34,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-09-35+0530.csv,2026-08-02T09:31:27+05:30,2026-08-02T11:01:27+05:30,45
47,11:30,1.58,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-05+0530.csv,2026-08-02T10:01:20+05:30,2026-08-02T11:31:20+05:30,47
48,11:45,1.84,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-05+0530.csv,2026-08-02T10:01:20+05:30,2026-08-02T11:31:20+05:30,47
49,12:00,1.91,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-35+0530.csv,2026-08-02T10:31:31+05:30,2026-08-02T12:01:31+05:30,49
50,12:15,2.16,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-10-35+0530.csv,2026-08-02T10:31:31+05:30,2026-08-02T12:01:31+05:30,49
51,12:30,2.22,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-05+0530.csv,2026-08-02T11:01:24+05:30,2026-08-02T12:31:24+05:30,51
52,12:45,2.1,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-05+0530.csv,2026-08-02T11:01:24+05:30,2026-08-02T12:31:24+05:30,51
53,13:00,2.2,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-35+0530.csv,2026-08-02T11:31:30+05:30,2026-08-02T13:01:30+05:30,53
54,13:15,1.99,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-11-35+0530.csv,2026-08-02T11:31:30+05:30,2026-08-02T13:01:30+05:30,53
55,13:30,2.19,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-05+0530.csv,2026-08-02T12:01:22+05:30,2026-08-02T13:31:22+05:30,55
56,13:45,2.14,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-05+0530.csv,2026-08-02T12:01:22+05:30,2026-08-02T13:31:22+05:30,55
57,14:00,2.1,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-35+0530.csv,2026-08-02T12:31:31+05:30,2026-08-02T14:01:31+05:30,57
58,14:15,2.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-12-35+0530.csv,2026-08-02T12:31:31+05:30,2026-08-02T14:01:31+05:30,57
59,14:30,1.72,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-05+0530.csv,2026-08-02T13:01:23+05:30,2026-08-02T14:31:23+05:30,59
60,14:45,1.74,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-05+0530.csv,2026-08-02T13:01:23+05:30,2026-08-02T14:31:23+05:30,59
61,15:00,1.56,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-35+0530.csv,2026-08-02T13:31:31+05:30,2026-08-02T15:01:31+05:30,61
62,15:15,1.55,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-13-35+0530.csv,2026-08-02T13:31:31+05:30,2026-08-02T15:01:31+05:30,61
63,15:30,1.4,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-05+0530.csv,2026-08-02T14:01:23+05:30,2026-08-02T15:31:23+05:30,63
64,15:45,1.38,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-05+0530.csv,2026-08-02T14:01:23+05:30,2026-08-02T15:31:23+05:30,63
65,16:00,1.29,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-35+0530.csv,2026-08-02T14:31:29+05:30,2026-08-02T16:01:29+05:30,65
66,16:15,1.21,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-02-14-35+0530.csv,2026-08-02T14:31:29+05:30,2026-08-02T16:01:29+05:30,65
