Block,Time,Scheduled MW
1,00:00,0.0
2,00:15,0.0
3,00:30,0.0
4,00:45,0.0
5,01:00,0.0
6,01:15,0.0
7,01:30,0.0
8,01:45,0.0
9,02:00,0.0
10,02:15,0.0
11,02:30,0.0
12,02:45,0.0
13,03:00,0.0
14,03:15,0.0
15,03:30,0.0
16,03:45,0.0
17,04:00,0.0
18,04:15,0.0
19,04:30,0.0
20,04:45,0.0
21,05:00,0.0
22,05:15,0.0
23,05:30,0.0
24,05:45,0.0
25,06:00,0.0
26,06:15,0.02
27,06:30,0.06
28,06:45,0.12
29,07:00,0.24
30,07:15,0.34
31,07:30,0.44
32,07:45,0.58
33,08:00,0.73
34,08:15,0.9
35,08:30,1.28
36,08:45,1.42
37,09:00,1.35
38,09:15,1.49
39,09:30,1.55
40,09:45,1.6
41,10:00,1.72
42,10:15,1.76
43,10:30,1.9
44,10:45,2.11
45,11:00,2.2
46,11:15,2.41
47,11:30,2.11
48,11:45,2.14
49,12:00,1.98
50,12:15,1.98
51,12:30,1.97
52,12:45,2.12
53,13:00,2.28
54,13:15,2.37
55,13:30,2.78
56,13:45,2.69
57,14:00,2.33
58,14:15,2.26
59,14:30,2.08
60,14:45,2.06
61,15:00,2.4
62,15:15,2.27
63,15:30,1.92
64,15:45,1.65
65,16:00,1.46
66,16:15,1.17
67,16:30,0.89
68,16:45,0.78
69,17:00,0.8
70,17:15,0.64
71,17:30,0.53
72,17:45,0.42
73,18:00,0.28
74,18:15,0.19
75,18:30,0.08
76,18:45,0.01
77,19:00,0.0
78,19:15,0.0
79,19:30,0.0
80,19:45,0.0
81,20:00,0.0
82,20:15,0.0
83,20:30,0.0
84,20:45,0.0
85,21:00,0.0
86,21:15,0.0
87,21:30,0.0
88,21:45,0.0
89,22:00,0.0
90,22:15,0.0
91,22:30,0.0
92,22:45,0.0
93,23:00,0.0
94,23:15,0.0
95,23:30,0.0
96,23:45,0.0
