Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
28,06:45,0.35,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,2026-07-07T05:46:15+05:30,2026-07-07T06:31:15+05:30,27
29,07:00,0.49,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,2026-07-07T05:46:15+05:30,2026-07-07T06:31:15+05:30,27
30,07:15,0.64,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,2026-07-07T05:46:15+05:30,2026-07-07T06:31:15+05:30,27
31,07:30,0.79,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,2026-07-07T05:46:15+05:30,2026-07-07T06:31:15+05:30,27
32,07:45,0.95,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,2026-07-07T05:46:15+05:30,2026-07-07T06:31:15+05:30,27
33,08:00,1.12,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,2026-07-07T07:16:30+05:30,2026-07-07T08:01:30+05:30,33
34,08:15,1.29,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,2026-07-07T07:16:30+05:30,2026-07-07T08:01:30+05:30,33
35,08:30,1.46,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,2026-07-07T07:16:30+05:30,2026-07-07T08:01:30+05:30,33
36,08:45,1.62,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,2026-07-07T07:16:30+05:30,2026-07-07T08:01:30+05:30,33
37,09:00,1.78,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,2026-07-07T07:16:30+05:30,2026-07-07T08:01:30+05:30,33
