Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) LCR1:INV1,DC_Power (KW) LCR1:INV1,AC_Active Output Power (KW) LCR1:INV2,DC_Power (KW) LCR1:INV2,AC_Active Output Power (KW) MCR:INV5,DC_Power (KW) MCR:INV5,AC_Active Output Power (KW) LCR2:INV3,DC_Power (KW) LCR2:INV3,AC_Active Output Power (KW) LCR2:INV4,DC_Power (KW) LCR2:INV4,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
27-07-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68,27.59,0.08,0.09,0.0,0.0
27-07-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85,27.39,0.1,0.07,0.0,0.0
27-07-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,27.34,0.15,0.1,0.0,0.0
27-07-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,27.25,0.17,0.11,0.0,0.0
27-07-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.17,0.14,0.1,0.0,0.0
27-07-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68,27.05,0.12,0.08,0.0,0.0
27-07-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,27.04,0.15,0.11,0.0,0.0
27-07-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92,27.1,0.15,0.1,0.0,0.0
27-07-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.97,27.12,0.18,0.1,0.0,0.0
27-07-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,27.17,0.41,0.1,0.0,0.0
27-07-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.35,27.02,0.16,0.11,0.0,0.0
27-07-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.18,27.07,0.33,0.1,0.0,0.0
27-07-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,26.96,0.19,0.11,0.0,0.0
27-07-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.04,26.9,0.11,0.08,0.0,0.0
27-07-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,26.93,0.09,0.08,0.0,0.0
27-07-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.32,26.97,0.11,0.08,0.0,0.0
27-07-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.79,27.01,0.11,0.08,0.0,0.0
27-07-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,27.04,0.16,0.09,0.0,0.0
27-07-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,27.0,0.14,0.1,0.0,0.0
27-07-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.15,27.08,0.13,0.1,0.0,0.0
27-07-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.88,27.1,0.17,0.11,0.0,0.0
27-07-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78,27.17,0.12,0.08,0.0,0.0
27-07-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,27.09,0.2,0.09,0.0,0.0
27-07-2026 06:00,0.0,0.0,0.0,0.0,0.0,0.61,0.64,0.71,0.74,0.79,0.82,25.67,27.12,1.53,0.76,0.0,0.0
27-07-2026 06:15,37.5,0.0,0.0,2.29,2.37,18.74,19.35,17.28,17.95,18.0,18.7,26.45,27.18,8.58,7.64,0.0,26.55
27-07-2026 06:30,274.8,58.13,59.53,61.22,62.71,59.46,61.24,59.94,61.4,60.41,61.87,26.25,27.15,23.32,21.99,0.0,71.54
27-07-2026 06:45,498.21,103.09,104.77,106.44,108.14,101.48,103.87,103.58,105.27,104.26,106.0,26.94,27.21,38.62,36.78,0.0,78.55
27-07-2026 07:00,706.2,141.04,143.08,146.3,148.42,148.97,151.8,143.92,146.01,148.96,151.12,27.62,27.31,54.93,53.2,0.0,78.5
27-07-2026 07:15,592.2,117.06,118.83,120.82,122.61,127.01,129.56,119.98,121.76,126.55,128.43,27.76,27.55,48.9,47.85,0.25,73.98
27-07-2026 07:30,457.2,96.0,97.78,96.55,98.33,90.68,92.98,95.89,97.66,96.57,98.35,27.45,27.44,35.04,34.24,0.25,79.61
27-07-2026 07:45,1398.21,276.78,280.56,282.05,285.96,284.29,289.59,282.6,286.52,291.98,296.01,28.2,27.47,97.46,96.46,0.25,87.81
27-07-2026 08:00,1987.2,391.28,396.85,401.76,407.4,407.4,414.55,392.88,398.46,410.82,416.53,29.96,27.65,147.56,146.27,0.5,83.02
27-07-2026 08:15,1668.6,330.97,335.77,339.0,343.92,337.0,343.22,332.72,337.55,347.18,352.22,29.82,27.71,120.39,119.07,0.5,85.39
27-07-2026 08:30,2122.2,422.24,428.03,427.81,433.68,425.25,432.64,427.95,433.82,444.93,450.9,30.03,27.81,145.3,145.13,0.75,90.06
27-07-2026 08:45,3458.4,691.28,699.45,699.73,708.01,676.88,687.87,691.57,699.75,711.12,719.54,32.43,28.15,236.32,235.56,1.0,91.13
27-07-2026 09:00,2598.0,509.13,515.53,523.83,530.35,532.03,540.85,513.86,520.27,538.31,544.99,32.33,28.24,188.71,186.7,1.0,85.69
27-07-2026 09:15,2220.0,440.87,446.79,451.42,457.4,449.81,457.5,440.63,446.58,458.0,464.02,31.89,28.09,158.59,158.6,1.25,86.97
27-07-2026 09:30,2476.8,508.62,514.96,519.31,525.74,478.0,486.08,503.24,509.53,504.97,511.26,31.54,28.11,161.21,158.53,1.5,95.32
27-07-2026 09:45,3697.07,738.49,747.23,748.55,757.42,722.2,733.95,739.28,748.03,757.86,766.86,31.51,28.36,244.18,241.81,1.75,93.93
27-07-2026 10:00,3849.43,744.61,753.42,765.97,775.05,801.17,814.14,750.3,759.18,790.56,799.96,34.8,28.61,285.4,282.91,2.0,84.82
27-07-2026 10:15,3362.4,674.77,682.75,688.17,696.32,666.38,677.24,669.06,676.97,682.2,690.27,33.27,28.55,230.76,228.19,2.25,91.05
27-07-2026 10:30,5340.0,1063.11,1076.38,1077.99,1091.44,1092.26,1111.21,1069.52,1082.86,1104.06,1117.85,34.71,28.87,371.84,370.74,2.5,90.27
27-07-2026 10:45,6880.8,1357.23,1375.02,1396.87,1415.42,1421.44,1447.71,1354.01,1371.97,1400.7,1419.27,40.49,29.77,510.2,505.72,3.0,86.86
27-07-2026 11:00,6427.8,1297.76,1314.32,1308.74,1325.44,1281.92,1304.64,1274.95,1291.46,1286.05,1302.46,41.48,29.81,457.7,454.52,3.5,90.84
27-07-2026 11:15,5264.36,1049.55,1062.66,1075.04,1088.7,1051.64,1069.37,1043.73,1056.59,1067.62,1081.24,39.55,29.96,365.85,364.08,3.75,92.31
27-07-2026 11:30,6082.2,1230.28,1245.98,1272.89,1289.13,1187.36,1207.92,1210.67,1226.12,1216.71,1232.24,39.91,30.34,408.66,403.52,4.25,95.63
27-07-2026 11:45,5827.2,1171.23,1186.17,1201.33,1216.66,1152.42,1172.24,1161.89,1176.71,1181.44,1196.52,39.03,30.55,394.05,387.49,4.75,94.66
27-07-2026 12:00,5970.0,1251.09,1267.22,1275.03,1291.75,1131.21,1150.79,1189.84,1204.71,1183.65,1198.68,39.34,30.65,400.31,392.75,5.0,95.59
27-07-2026 12:15,5698.2,1153.4,1167.84,1164.95,1179.54,1107.17,1126.22,1153.89,1168.35,1172.42,1187.12,38.43,30.75,376.8,371.47,5.5,96.56
27-07-2026 12:30,9072.0,1882.18,1910.5,1888.95,1917.26,1663.51,1696.28,1871.34,1899.48,1801.88,1828.5,41.2,31.28,587.42,577.73,6.0,99.77
27-07-2026 12:45,8231.4,1637.56,1661.1,1649.42,1672.81,1651.26,1683.67,1660.18,1684.22,1663.3,1687.1,44.83,31.47,619.46,612.84,6.75,87.2
27-07-2026 13:00,8865.6,1893.02,1921.71,1844.58,1872.05,1685.84,1719.18,1853.52,1881.14,1699.28,1723.77,45.71,31.67,630.92,626.77,7.25,92.57
27-07-2026 13:15,12001.2,2569.53,2611.41,2446.05,2485.58,2428.04,2482.74,2399.34,2437.99,2577.76,2619.65,47.06,31.99,931.39,922.49,8.0,85.39
27-07-2026 13:30,9397.8,1921.81,1950.8,1871.85,1900.03,1679.08,1712.69,1910.07,1938.87,1685.68,1709.87,49.89,32.32,712.74,706.06,8.75,88.47
27-07-2026 13:45,12419.36,2293.12,2329.51,2314.69,2350.87,2442.91,2497.91,2591.1,2633.26,2750.4,2795.71,48.63,32.21,984.8,969.44,9.5,84.15
27-07-2026 14:00,12288.6,2429.49,2468.5,2455.69,2495.35,2452.93,2508.21,2493.66,2534.19,2771.13,2816.86,53.03,32.61,1032.22,1016.93,10.5,81.01
27-07-2026 14:15,5612.4,1100.58,1114.72,1099.82,1113.76,1175.86,1196.89,1073.0,1086.34,1122.23,1136.19,46.29,31.82,490.5,491.69,11.0,75.57
27-07-2026 14:30,3592.8,684.92,693.01,702.38,710.68,758.5,770.78,700.53,708.8,752.72,761.66,37.48,30.46,259.16,265.11,11.25,88.16
27-07-2026 14:45,3033.0,613.65,620.98,636.91,644.48,612.34,622.36,601.71,608.96,609.74,616.99,31.39,28.98,198.7,192.08,11.25,94.64
27-07-2026 15:00,2751.0,553.94,560.57,567.05,573.79,547.85,556.89,549.77,556.36,558.13,564.81,28.78,28.26,179.3,173.25,11.5,94.12
27-07-2026 15:15,2719.8,545.78,552.4,557.97,564.74,543.04,552.02,540.89,547.49,552.46,559.16,29.92,28.82,180.98,173.93,11.75,92.62
27-07-2026 15:30,2547.6,510.73,517.1,522.65,529.12,508.98,517.49,505.92,512.23,517.54,523.95,30.93,29.07,174.05,166.22,12.0,90.59
27-07-2026 15:45,1712.4,348.39,353.4,355.13,360.2,334.96,341.13,341.74,346.65,346.73,351.7,31.58,29.29,121.4,115.46,12.0,87.53
27-07-2026 16:00,1278.0,262.44,266.25,265.61,269.46,249.5,254.47,258.83,262.59,261.96,265.76,30.99,29.3,88.0,84.12,12.0,89.9
27-07-2026 16:15,1032.6,208.99,212.64,210.61,214.25,206.26,211.07,208.97,212.54,216.06,219.61,30.49,28.95,71.71,70.09,12.25,88.96
27-07-2026 16:30,807.0,162.38,165.29,166.26,169.16,165.62,169.87,161.42,164.26,166.82,169.73,30.38,29.19,60.38,57.75,12.25,82.52
27-07-2026 16:45,514.29,106.09,109.3,110.14,113.07,110.87,114.3,105.15,108.26,108.88,111.91,28.91,29.08,39.3,37.14,12.25,80.33
27-07-2026 17:00,291.6,61.83,64.22,63.29,65.73,62.28,64.25,60.75,63.1,62.52,64.94,27.45,28.31,23.81,22.92,12.25,74.73
27-07-2026 17:15,192.6,41.83,43.44,42.35,43.98,43.69,45.09,41.99,43.61,44.15,45.86,26.69,27.76,17.8,17.83,12.25,65.83
27-07-2026 17:30,185.79,40.78,42.36,40.92,42.5,41.84,43.19,41.15,42.74,43.13,44.8,26.67,27.83,17.09,17.46,12.25,66.12
27-07-2026 17:45,215.36,46.51,48.31,46.74,48.54,47.62,49.14,47.23,49.06,49.68,51.6,26.26,27.74,19.06,20.04,12.25,68.62
27-07-2026 18:00,202.8,43.51,45.19,44.33,46.04,46.24,47.72,44.33,46.04,46.79,48.6,25.85,27.44,17.24,17.28,12.25,71.3
27-07-2026 18:15,159.6,35.65,37.02,36.53,37.94,37.19,38.4,35.63,37.0,37.34,38.78,26.07,27.55,16.04,15.06,12.25,60.36
27-07-2026 18:30,46.8,14.02,14.57,13.64,14.17,14.76,15.29,13.65,14.17,14.31,14.86,26.04,27.32,8.01,7.9,12.25,35.44
27-07-2026 18:45,9.0,4.1,4.26,3.91,4.06,5.33,5.55,4.3,4.47,4.44,4.61,25.45,27.33,5.57,4.82,12.25,9.79
27-07-2026 19:00,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,25.76,27.29,1.58,0.83,12.25,0.0
27-07-2026 19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.83,27.29,0.52,0.11,12.25,0.0
27-07-2026 19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77,27.23,0.33,0.13,12.25,0.0
27-07-2026 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77,27.15,0.19,0.1,12.25,0.0
27-07-2026 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56,27.28,0.52,0.13,12.25,0.0
27-07-2026 20:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.61,27.24,0.21,0.12,12.25,0.0
27-07-2026 20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,27.03,0.14,0.1,12.25,0.0
27-07-2026 20:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.65,27.07,0.18,0.13,12.25,0.0
27-07-2026 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48,27.28,0.17,0.13,12.25,0.0
27-07-2026 21:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,27.25,0.25,0.12,12.25,0.0
