Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) LCR1:INV1,DC_Power (KW) LCR1:INV1,AC_Active Output Power (KW) LCR1:INV2,DC_Power (KW) LCR1:INV2,AC_Active Output Power (KW) MCR:INV5,DC_Power (KW) MCR:INV5,AC_Active Output Power (KW) LCR2:INV3,DC_Power (KW) LCR2:INV3,AC_Active Output Power (KW) LCR2:INV4,DC_Power (KW) LCR2:INV4,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
13-07-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,27.94,0.16,0.09,0.0,0.0
13-07-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.38,27.9,0.22,0.09,0.0,0.0
13-07-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.48,27.85,0.17,0.09,0.0,0.0
13-07-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,27.74,0.16,0.09,0.0,0.0
13-07-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.41,27.69,0.13,0.08,0.0,0.0
13-07-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.51,27.68,0.15,0.09,0.0,0.0
13-07-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,27.75,0.15,0.09,0.0,0.0
13-07-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.12,28.01,0.16,0.09,0.0,0.0
13-07-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.11,0.16,0.09,0.0,0.0
13-07-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,28.17,0.16,0.09,0.0,0.0
13-07-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28,27.97,0.15,0.09,0.0,0.0
13-07-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,27.97,0.15,0.09,0.0,0.0
13-07-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,27.8,0.14,0.09,0.0,0.0
13-07-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56,27.49,0.15,0.09,0.0,0.0
13-07-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.72,27.27,0.2,0.1,0.0,0.0
13-07-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.62,27.43,0.19,0.1,0.0,0.0
13-07-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.36,27.42,0.17,0.1,0.0,0.0
13-07-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33,27.58,0.15,0.1,0.0,0.0
13-07-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.86,27.98,0.63,0.09,0.0,0.0
13-07-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.53,28.55,1.02,0.1,0.0,0.0
13-07-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11,28.6,0.42,0.1,0.0,0.0
13-07-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.09,28.81,0.22,0.1,0.0,0.0
13-07-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.22,0.23,26.61,28.88,0.74,0.13,0.0,0.0
13-07-2026 06:00,35.0,0.0,0.0,0.0,0.0,14.04,14.5,15.05,15.64,15.69,16.29,26.98,28.89,6.77,5.57,0.0,31.48
13-07-2026 06:15,130.8,0.0,0.0,5.19,5.29,46.22,47.65,48.91,50.35,49.89,51.35,27.0,28.95,19.53,19.03,0.0,40.79
13-07-2026 06:30,484.8,0.0,0.0,0.0,0.0,99.43,101.77,107.61,109.41,109.02,110.82,27.34,28.9,38.95,38.92,0.0,75.91
