Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) LCR1:INV1,DC_Power (KW) LCR1:INV1,AC_Active Output Power (KW) LCR1:INV2,DC_Power (KW) LCR1:INV2,AC_Active Output Power (KW) MCR:INV5,DC_Power (KW) MCR:INV5,AC_Active Output Power (KW) LCR2:INV3,DC_Power (KW) LCR2:INV3,AC_Active Output Power (KW) LCR2:INV4,DC_Power (KW) LCR2:INV4,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
24-07-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,27.38,0.15,0.09,0.0,0.0
24-07-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.47,27.48,0.2,0.09,0.0,0.0
24-07-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,28.02,0.67,0.09,0.0,0.0
24-07-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.06,28.19,0.26,0.09,0.0,0.0
24-07-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.04,28.14,0.14,0.09,0.0,0.0
24-07-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.69,28.02,0.13,0.09,0.0,0.0
24-07-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,27.83,0.12,0.09,0.0,0.0
24-07-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.44,27.8,0.14,0.09,0.0,0.0
24-07-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.51,27.59,0.14,0.09,0.0,0.0
24-07-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.96,27.54,0.11,0.08,0.0,0.0
24-07-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.07,27.06,0.13,0.08,0.0,0.0
24-07-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.17,26.81,0.15,0.08,0.0,0.0
24-07-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.24,26.67,0.14,0.08,0.0,0.0
24-07-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.05,26.59,0.15,0.08,0.0,0.0
24-07-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35,26.73,0.13,0.08,0.0,0.0
24-07-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.46,26.87,0.17,0.08,0.0,0.0
24-07-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01,26.97,0.39,0.09,0.0,0.0
24-07-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.58,27.03,0.21,0.08,0.0,0.0
24-07-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,26.97,0.14,0.08,0.0,0.0
24-07-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.15,26.96,0.18,0.1,0.0,0.0
24-07-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.03,26.97,0.13,0.09,0.0,0.0
24-07-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,26.93,0.15,0.09,0.0,0.0
24-07-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92,26.81,0.39,0.1,0.0,0.0
24-07-2026 06:00,12.0,0.0,0.0,0.0,0.0,5.0,5.18,5.04,5.23,5.63,5.85,25.87,27.07,3.21,2.27,0.0,22.63
24-07-2026 06:15,87.0,12.48,12.96,15.74,16.35,28.61,29.51,28.69,29.8,30.99,32.19,26.02,26.58,11.29,10.44,0.0,46.74
24-07-2026 06:30,254.4,55.79,57.3,57.02,58.5,57.48,59.22,58.54,60.06,62.32,63.74,25.64,26.82,22.49,21.72,0.0,68.53
24-07-2026 06:45,465.6,97.21,98.94,99.15,100.88,98.39,100.77,97.95,99.74,104.46,106.14,26.99,27.17,38.27,37.33,0.25,74.11
24-07-2026 07:00,620.36,127.31,129.19,129.08,130.99,127.42,130.0,132.12,134.07,140.68,142.72,26.47,26.92,46.48,46.33,0.25,81.12
24-07-2026 07:15,832.5,168.77,171.22,171.74,174.23,171.35,174.49,168.05,170.49,180.06,182.68,27.29,27.22,63.15,63.76,0.25,80.39
24-07-2026 07:30,1187.4,243.23,246.33,244.76,247.87,232.85,237.59,245.19,248.32,257.3,260.51,28.49,27.61,84.45,85.4,0.25,86.15
24-07-2026 07:45,1236.6,254.86,258.22,239.13,242.32,242.85,247.88,258.15,261.6,248.01,251.35,28.52,27.69,88.23,87.67,0.5,85.89
24-07-2026 08:00,1585.93,329.27,334.05,331.5,336.31,302.72,308.44,317.65,322.26,325.4,330.12,29.33,27.72,110.37,108.96,0.5,88.35
