TimeStamp,Active Power (kW),POA (W/m2),GHI (W/m2),Wind Speed (m/s),Wind Direction (DEG.),AMB TEMP,MOD TEMP,Humidity
2026-07-23 05:45:00,-3.892857142857143,2.027307142857143,2.106807142857143,0.06452857142857144,95.88071428571429,25.085714285714285,24.621428571428574,95.91428571428571
2026-07-23 06:00:00,7.734,6.20006,6.07064,0.0,78.74128,25.0,24.48,96.2
2026-07-23 06:15:00,33.11333333333334,14.010799999999998,14.880533333333332,0.0,83.15166666666666,25.03333333333333,24.53333333333333,96.2
2026-07-23 06:30:00,156.66333333333336,41.523333333333326,46.45608,0.006826666666666667,115.98722666666667,25.106666666666673,24.88666666666667,96.28666666666665
2026-07-23 06:45:00,254.89666666666662,62.63074666666666,69.01422,0.13376000000000002,143.74992666666668,25.199999999999992,25.62666666666667,96.38666666666668
2026-07-23 07:00:00,282.896,66.94729333333333,72.06983999999999,0.06426666666666667,84.64798666666667,25.366666666666667,26.06666666666667,96.55999999999997
2026-07-23 07:15:00,478.3879999999999,97.46263333333334,110.09331999999999,0.29375333333333337,64.03608666666668,25.566666666666663,27.66,96.38000000000001
2026-07-23 07:30:00,701.6833333333333,156.13045333333332,173.75498666666664,0.3881466666666667,68.67568000000001,25.91333333333333,29.12,95.77999999999999
2026-07-23 07:45:00,873.7986666666668,222.17618666666664,246.01573333333334,0.8200466666666667,56.27843333333332,26.239999999999995,30.433333333333334,94.32666666666665
2026-07-23 08:00:00,979.8946666666666,239.15400666666667,258.95347999999996,0.8661400000000001,44.147499999999994,26.60666666666667,30.71333333333333,92.97333333333333
2026-07-23 08:15:00,1528.7935714285716,327.29954285714285,354.6495714285714,1.0083142857142857,50.06141428571429,27.107142857142854,32.40714285714286,90.37142857142858
2026-07-23 08:30:00,1227.776,321.45865333333336,346.49209333333334,1.2954666666666668,54.842906666666664,27.15333333333333,32.06666666666666,89.76666666666664
2026-07-23 08:45:00,2308.1933333333336,588.4989066666668,635.1410666666666,1.488206666666667,69.62602666666666,27.753333333333327,35.37999999999999,88.47333333333331
2026-07-23 09:00:00,2042.3026666666667,483.58128,517.3098733333334,0.9235466666666666,70.10822666666667,28.21333333333333,37.43333333333333,87.38000000000001
2026-07-23 09:15:00,977.6773333333332,250.21402666666663,257.75908666666663,0.8046266666666665,52.33393999999999,28.0,34.333333333333336,87.42000000000003
2026-07-23 09:30:00,1915.8899999999999,422.65760000000006,453.1883266666667,1.1578333333333333,55.82440666666666,28.35333333333333,35.99333333333333,87.05999999999999
2026-07-23 09:45:00,969.5053333333334,214.33121333333335,231.49001333333334,1.4853133333333337,62.29716,28.026666666666664,32.3,86.26666666666667
2026-07-23 10:00:00,1908.3760000000002,455.68810666666667,486.96607333333327,1.4345199999999998,50.98153333333333,27.913333333333338,32.959999999999994,87.55333333333333
2026-07-23 10:15:00,2258.332,456.12462666666664,489.6052133333334,1.5807399999999998,62.79938666666667,28.673333333333336,37.84666666666667,85.31333333333333
2026-07-23 10:30:00,1712.1919999999998,385.97122,426.2285066666666,1.3818066666666668,58.42613333333334,28.439999999999994,34.50666666666667,84.46666666666668
2026-07-23 10:45:00,1270.266,286.56939333333327,319.5437733333334,1.3283866666666666,82.59599333333333,28.613333333333333,34.64666666666667,84.16666666666667
2026-07-23 11:00:00,528.93,117.57602,131.86653333333334,0.6756866666666667,139.25796666666665,27.980000000000004,29.493333333333332,86.77333333333333
2026-07-23 11:15:00,554.6740000000001,140.0143,129.31841333333332,0.9434400000000001,129.99877999999998,27.553333333333335,28.406666666666663,88.78
2026-07-23 11:30:00,579.2779999999999,144.92408666666662,133.88958666666667,1.35768,136.7571266666667,27.666666666666668,28.773333333333333,87.72666666666666
2026-07-23 11:45:00,985.3573333333331,229.14764000000002,228.53412,1.06494,128.47943999999998,27.94666666666667,31.486666666666668,86.92
2026-07-23 12:00:00,1195.9393333333333,280.5135466666667,279.7027,1.1385333333333336,126.8050533333333,28.246666666666666,33.26,85.58
2026-07-23 12:15:00,1024.3733333333332,244.9055666666667,237.50555333333335,1.5649000000000002,125.01346,28.499999999999996,33.60666666666666,84.20666666666666
2026-07-23 12:30:00,1887.76,450.02885333333336,459.18258000000003,1.0487266666666666,124.79610000000001,28.793333333333337,36.02666666666666,84.21333333333334
2026-07-23 12:45:00,2485.188,550.6977533333335,570.6220733333334,1.54606,122.00001333333334,29.09333333333334,38.86666666666667,84.24666666666666
2026-07-23 13:00:00,3666.8606666666665,854.0343333333332,887.8308533333333,1.3870599999999997,125.97640666666665,29.533333333333335,43.63999999999999,82.81333333333333
2026-07-23 13:15:00,1999.0813333333333,485.9421466666667,510.38364000000007,1.0847666666666667,123.80127333333334,29.780000000000005,42.56666666666667,81.26
2026-07-23 13:30:00,2759.208,728.1211666666667,768.8207933333334,1.22002,136.1043,29.560000000000002,38.67333333333333,81.58
2026-07-23 13:45:00,2563.7673333333337,649.6339133333332,694.2979533333335,1.2308266666666665,144.69432666666668,30.12666666666666,44.49999999999999,79.42666666666668
2026-07-23 14:00:00,1457.3866666666665,366.09121999999996,384.8751533333334,1.5282466666666668,163.03614000000002,29.619999999999997,40.33333333333333,80.34666666666665
2026-07-23 14:15:00,2272.3286666666663,486.5362266666667,509.9464933333334,1.5642266666666667,171.15582,29.766666666666662,42.84666666666667,80.4
2026-07-23 14:30:00,1614.1,369.9379066666667,377.51661999999993,1.7588533333333336,164.02206666666663,29.453333333333333,37.66,81.41333333333336
2026-07-23 14:45:00,1375.6566666666668,309.0856,313.6140333333333,1.7243533333333334,167.23731999999993,29.346666666666657,37.63999999999999,81.46000000000001
2026-07-23 15:00:00,2132.125,471.1812916666666,494.3661916666667,1.1059166666666664,180.30225000000004,29.258333333333326,38.60833333333333,81.82499999999999
2026-07-23 15:15:00,2159.924666666667,494.9115,527.1190666666666,0.96422,169.38351333333333,29.466666666666658,41.97999999999999,81.46666666666668
2026-07-23 15:30:00,846.9173333333333,198.79078666666663,204.63355333333337,1.9113733333333331,170.08901333333336,29.060000000000002,37.82666666666667,82.75333333333333
2026-07-23 15:45:00,946.0,215.00774000000004,219.55613333333332,1.12688,157.2132466666667,28.56666666666667,33.64666666666667,84.64000000000001
2026-07-23 16:00:00,817.6293333333332,180.94387333333336,187.4906066666667,1.4422400000000002,163.86183333333335,28.386666666666663,33.18666666666667,85.84000000000002
2026-07-23 16:15:00,626.8733333333333,141.58893333333333,150.25603999999996,1.7290133333333333,167.26028666666667,27.806666666666665,31.473333333333333,88.07333333333332
2026-07-23 16:30:00,583.6753333333334,139.71022,145.99884,0.95766,169.92431333333334,27.820000000000004,31.33333333333333,87.75999999999999
