TimeStamp,Active Power (kW),POA (W/m2),GHI (W/m2),Wind Speed (m/s),Wind Direction (DEG.),AMB TEMP,MOD TEMP,Humidity,Timestamp,block_no,source_file
2026-08-13 06:00:00,11.888333333333334,6.913733333333333,7.1922,0.0,277.3666,23.36666666666667,23.016666666666666,97.81666666666666,,,
2026-08-13 06:15:00,81.20266666666664,22.43204666666667,23.198733333333333,0.08171333333333333,260.00052666666664,23.32666666666667,23.466666666666676,98.03333333333333,,,
2026-08-13 06:30:00,129.27916666666664,33.613375,34.209849999999996,0.48762500000000003,262.253,23.36666666666667,23.808333333333337,98.075,,,
2026-08-13 06:45:00,120.77933333333333,30.787386666666666,31.651359999999993,0.29304,248.97939333333335,23.493333333333336,24.093333333333337,98.14,,,
2026-08-13 07:00:00,132.30153846153846,33.864407692307694,35.10322307692308,0.5738153846153847,255.9510923076923,23.57692307692308,24.13076923076923,98.14615384615385,,,
2026-08-13 07:15:00,180.28999999999996,41.82329285714286,44.39125714285715,0.7241714285714285,263.4817,23.62857142857143,24.257142857142863,98.16428571428571,,,
2026-08-13 07:30:00,353.34785714285715,85.37637142857145,88.19257142857143,1.1215071428571428,258.9224357142857,23.61428571428572,24.678571428571423,98.22142857142858,,,
2026-08-13 07:45:00,460.2573333333333,111.39379333333333,110.79988666666667,0.9438333333333333,253.90538,23.75333333333333,25.64666666666667,98.17333333333335,,,
2026-08-13 08:00:00,672.75,158.95106666666666,161.4888666666667,1.07808,243.18843333333334,23.96666666666666,28.473333333333333,97.99333333333334,,,
2026-08-13 08:15:00,1029.2433333333333,243.98779333333334,260.22281333333336,0.7238733333333334,254.74962000000002,24.32666666666666,32.11333333333333,97.41333333333336,,,
2026-08-13 08:30:00,646.9126666666666,149.17181333333338,152.81725333333333,1.1216199999999998,260.7119533333334,24.70666666666666,32.20666666666666,95.26666666666668,,,
2026-08-13 08:45:00,720.092,166.40070666666668,169.94164000000004,1.2400866666666663,268.88430666666665,24.713333333333328,30.360000000000003,94.34666666666665,,,
2026-08-13 09:00:00,1065.4333333333334,232.3286866666666,248.91418666666667,1.3582866666666666,267.6520933333333,24.980000000000004,31.92,93.88000000000001,,,
2026-08-13 09:15:00,1129.1133333333335,248.29060666666663,261.0899933333333,1.1122599999999998,258.82689999999997,25.280000000000005,31.633333333333336,93.86666666666666,,,
2026-08-13 09:30:00,868.7633333333332,183.08928,193.53402666666668,0.8854866666666666,257.33278,25.26666666666667,31.606666666666673,93.79333333333332,,,
2026-08-13 09:45:00,888.2313333333334,197.56237333333334,196.52055333333334,1.0131466666666666,247.61216000000002,25.320000000000004,31.84,93.21333333333334,,,
2026-08-13 10:00:00,776.538,165.43808666666666,167.85599333333337,1.0628666666666666,250.86076666666662,25.433333333333334,30.953333333333326,92.98,,,
2026-08-13 10:15:00,656.0913333333333,138.17613333333333,140.89874666666665,0.9281866666666667,249.6656266666666,25.34,30.43333333333334,92.90666666666668,,,
2026-08-13 10:30:00,840.1986666666668,175.2581733333333,180.69081333333335,1.2914,250.77025999999998,25.326666666666664,30.293333333333337,92.97333333333333,,,
2026-08-13 10:45:00,1244.7213333333334,260.60458666666665,269.49882666666673,0.8621333333333335,245.09277999999995,25.68666666666666,32.620000000000005,92.16000000000001,,,
2026-08-13 11:00:00,1699.088,361.12614666666667,373.5708533333334,1.0276133333333333,236.11106000000004,26.006666666666668,35.559999999999995,91.47333333333333,,,
2026-08-13 11:15:00,2122.3340000000003,465.2104266666667,457.29488,0.8682933333333333,252.97358000000003,26.740000000000002,39.74,89.31333333333333,,,
