weight,penalty_rs,deviation_pct,accuracy_pct
0.0,17410.53450570034,10.251294242449104,56.36079808258347
0.1,17595.37686613779,10.333469103920432,56.92459983741205
0.2,17966.62229666988,10.450395611478672,55.490216690494215
0.3,18507.282876594058,10.598669918659729,54.78923135144226
0.4,19241.14641428203,10.773552718001513,54.26169652117847
0.5,20175.556853818154,10.97285127562199,53.0370308076136
0.6,21346.035464751003,11.198000525891095,52.12247357945785
0.7,22695.901484363738,11.448914284893101,52.65438847307488
0.8,24193.975814557412,11.722985535072226,52.496881394892505
0.9,25869.58585657434,12.00908253982733,51.799750511591405
1.0,27662.601858724185,12.323450925652027,51.43322291680294
