timestamp,active_power_kw,ac_active_output_power_kw_lcr1:inv1,dc_power_kw_lcr1:inv1,ac_active_output_power_kw_lcr1:inv2,dc_power_kw_lcr1:inv2,ac_active_output_power_kw_mcr:inv5,dc_power_kw_mcr:inv5,ac_active_output_power_kw_lcr2:inv3,dc_power_kw_lcr2:inv3,ac_active_output_power_kw_lcr2:inv4,dc_power_kw_lcr2:inv4,mod_temp,amb_temp,poa_w_m2,ghi_w_m2,plant_cuf,temp_co_pr,is_real_measurement,hour,minute,day,month,weekday,power_lag_1,power_lag_2,rolling_mean_3,rolling_std_3,is_daylight,is_morning,is_afternoon
2026-07-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.22,25.82,0.3,0.16,0.0,0.0,True,0,15,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.15,25.75,0.38,0.19,0.0,0.0,True,0,30,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23,25.8,0.55,0.19,0.0,0.0,True,0,45,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.01,25.9,0.68,0.2,0.0,0.0,True,1,0,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.18,25.98,0.78,0.39,0.0,0.0,True,1,15,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77,26.08,1.02,0.59,0.0,0.0,True,1,30,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93,26.08,0.19,0.14,0.0,0.0,True,1,45,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,26.16,0.33,0.19,0.0,0.0,True,2,0,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.12,26.16,0.56,0.19,0.0,0.0,True,2,15,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.04,26.2,0.61,0.22,0.0,0.0,True,2,30,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.04,26.3,0.95,0.33,0.0,0.0,True,2,45,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.17,26.35,0.92,0.21,0.0,0.0,True,3,0,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,26.34,1.31,0.31,0.0,0.0,True,3,15,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02,26.35,1.21,0.17,0.0,0.0,True,3,30,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,26.43,1.45,0.21,0.0,0.0,True,3,45,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,26.53,0.99,0.16,0.0,0.0,True,4,0,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.18,26.53,1.45,0.15,0.0,0.0,True,4,15,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.38,26.61,1.48,0.13,0.0,0.0,True,4,30,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.39,26.69,1.11,0.18,0.0,0.0,True,4,45,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.34,26.69,0.21,0.14,0.0,0.0,True,5,0,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.17,26.74,0.22,0.19,0.0,0.0,True,5,15,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.32,26.85,0.16,0.12,0.0,0.0,True,5,30,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.31,26.94,0.98,0.15,0.0,0.0,True,5,45,1,7,2,0.0,0.0,0.0,0.0,0,1,0
2026-07-01 06:00:00,9.0,1.15,1.2,0.0,0.0,3.46,3.59,2.62,2.72,3.14,3.26,25.74,26.96,2.9,1.14,0.0,18.81,True,6,0,1,7,2,0.0,0.0,3.0,5.196152422706632,0,1,0
2026-07-01 06:15:00,28.2,9.36,9.72,9.22,9.57,12.32,12.73,10.03,10.42,11.74,12.19,25.61,26.95,5.96,4.22,0.0,28.65,True,6,15,1,7,2,9.0,0.0,12.4,14.404166064024672,0,1,0
2026-07-01 06:30:00,87.6,19.19,19.93,20.27,21.05,26.01,26.84,21.35,22.17,24.74,25.7,25.85,26.86,10.59,8.13,0.0,50.14,True,6,30,1,7,2,28.2,9.0,41.6,40.977554831883275,0,1,0
2026-07-01 06:45:00,160.2,32.9,34.1,33.42,34.64,40.9,42.18,35.96,37.21,41.31,42.75,25.65,26.87,15.74,13.55,0.0,61.64,True,6,45,1,7,2,87.6,28.2,92.0,66.10990848579357,0,1,0
2026-07-01 07:00:00,352.29,68.13,69.48,69.0,70.37,83.92,86.16,75.15,76.63,85.74,87.43,25.7,26.96,30.92,28.6,0.0,69.03,True,7,0,1,7,2,160.2,87.6,200.03,136.76629957705222,1,1,0
